label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
C,0.5510832071304321,0.3013285994529724,-0.4625338912010193,0.99985533952713,0.6063802242279053,0.3684079051017761,-0.156322032213211,0.9999384880065918,0.4854871332645416,0.3803536891937256,-0.1636509001255035,0.9999436140060424,0.5889208316802979,0.6630658507347107,0.0041921800002455,0.9935281872749328,0.5187902450561523,0.6736278533935547,-0.0038930177688598,0.993449866771698
C,0.5530871748924255,0.297760397195816,-0.4194667339324951,0.9998756051063538,0.606216549873352,0.3721714913845062,-0.1333890855312347,0.999943196773529,0.4866862297058105,0.3815050423145294,-0.1581645011901855,0.9999292492866516,0.5931165814399719,0.667443573474884,0.0041330032981932,0.9949592351913452,0.521740198135376,0.6761413216590881,-0.0037607757840305,0.9941614866256714
C,0.5546461343765259,0.2977496385574341,-0.4653918445110321,0.9998852014541626,0.6062623858451843,0.3721981346607208,-0.1597001850605011,0.9999480843544006,0.4871046245098114,0.3802452087402344,-0.1948210597038269,0.999935507774353,0.5933115482330322,0.6666037440299988,0.0050999354571104,0.995425820350647,0.5216993093490601,0.6741634607315063,-0.0047915941104292,0.994623064994812
C,0.5541468858718872,0.2978833615779876,-0.4620918035507202,0.9998915195465088,0.6062681078910828,0.3724285960197449,-0.1642569899559021,0.9999486804008484,0.4871400594711303,0.3795453906059265,-0.1957477927207946,0.9999410510063172,0.5932638049125671,0.6654807925224304,0.0069007417187094,0.995615005493164,0.5215451121330261,0.6715373396873474,-0.0066563310101628,0.9949398636817932
C,0.5541958808898926,0.2982064485549927,-0.4523446261882782,0.9999033212661744,0.6062746047973633,0.3725548386573791,-0.1581736654043197,0.9999530911445618,0.4871506690979004,0.3795347809791565,-0.1951193660497665,0.9999476671218872,0.5929734706878662,0.665350079536438,0.0078592700883746,0.9960060119628906,0.5213353633880615,0.6715291142463684,-0.0076142391189932,0.9954038858413696
C,0.5539191961288452,0.2981802821159363,-0.4396953284740448,0.9999092221260072,0.6062242388725281,0.3725666105747223,-0.1575348526239395,0.9999549984931946,0.4871378540992737,0.379524290561676,-0.1900429725646972,0.9999507665634156,0.592603325843811,0.6652873754501343,0.0080412020906806,0.9961930513381958,0.5211681127548218,0.6715542674064636,-0.0077941790223121,0.9956398010253906
C,0.5531870722770691,0.2980670630931854,-0.4205411672592163,0.9999199509620668,0.6060270667076111,0.372565358877182,-0.1441930830478668,0.99995756149292,0.4869521856307983,0.3799892663955688,-0.1851198077201843,0.999956488609314,0.5925039649009705,0.6656737327575684,0.008545558899641,0.996488392353058,0.5211504697799683,0.6726558208465576,-0.0082963313907384,0.996045172214508
C,0.5529667735099792,0.2981642186641693,-0.4180405139923095,0.999927818775177,0.6055957674980164,0.3727200329303741,-0.1385661363601684,0.9999591708183287,0.4865412712097168,0.3809646666049957,-0.1769643276929855,0.999960720539093,0.5924414396286011,0.6668846607208252,0.0082785310223698,0.9966765642166138,0.521240770816803,0.6750290393829346,-0.0080367214977741,0.996326208114624
C,0.5522679686546326,0.2986306548118591,-0.4538257420063019,0.9999282360076904,0.6050602197647095,0.3729331493377685,-0.1593532860279083,0.9999579191207886,0.4854796230792999,0.382630854845047,-0.1955716013908386,0.9999624490737916,0.5923488140106201,0.6674123406410217,0.0081823142245411,0.996684432029724,0.5209562182426453,0.6760596036911011,-0.0079476423561573,0.996382176876068
C,0.551798403263092,0.2987857758998871,-0.4654344022274017,0.9999308586120604,0.6048215627670288,0.3729366958141327,-0.1684858351945877,0.9999585151672364,0.4848166108131408,0.3828838467597961,-0.2039473205804824,0.9999632835388184,0.5922954678535461,0.6674158573150635,0.008316277526319,0.99673730134964,0.5204570293426514,0.6761899590492249,-0.0080769388005137,0.9964216947555542
